Reviewer,Date of Review,Name,Giant Bomb Score
Ryan,2009-11-17 09:00:00,Assassin's Creed II,4
Jeff,2009-11-18 17:00:00,Buzz! Quiz World,3
Jeff,2009-11-20 16:00:00,Tony Hawk: RIDE,1
Ryan,2009-11-20 17:00:00,Resident Evil: The Darkside Chronicles,3
Brad,2009-11-20 17:00:00,God of War Collection,4
Jeff,2009-11-25 12:00:00,Borderlands,4
Jeff,2009-12-03 11:00:00,Rogue Warrior,2
Jeff,2009-12-07 12:00:00,The Legend of Zelda: Spirit Tracks,4
Ryan,2009-12-08 16:00:00,The Saboteur,3
Brad,2009-12-11 17:00:00,James Cameron's Avatar: The Game,2
Jeff,2009-12-11 14:00:00,QIX++,2
Jeff,2009-12-15 11:00:00,PixelJunk Shooter,4
Brad,2009-12-27 07:00:00,Silent Hill: Shattered Memories,4
Jeff,2010-01-06 13:00:00,Borderlands,2
Ryan,2010-01-08 20:00:00,Bayonetta,4
Ryan,2010-01-08 20:00:00,Bayonetta,3
Jeff,2010-01-12 16:00:00,Darksiders,4
Jeff,2010-01-15 15:00:00,Army of Two: The 40th Day,3
Brad,2010-01-15 16:00:00,Trajectile,3
Jeff,2010-01-19 00:00:00,Dark Void,3
Brad,2010-01-27 19:00:00,Mass Effect 2,5
Ryan,2010-01-27 18:00:00,Serious Sam: The First Encounter,3
Jeff,2010-01-29 13:00:00,MAG,4
Ryan,2010-02-06 09:00:00,No More Heroes 2: Desperate Struggle,4
Jeff,2010-02-08 09:00:00,BioShock 2,4
Jeff,2010-02-09 17:00:00,Tomena Sanner,3
Jeff,2010-02-18 16:00:00,Aliens vs. Predator,2
Brad,2010-02-19 19:00:00,Resident Evil 5,4
Brad,2010-02-23 17:00:00,Heavy Rain,4
Ryan,2010-02-27 13:00:00,Dante's Inferno,2
Jeff,2010-03-03 09:00:00,Battlefield: Bad Company 2,4
Jeff,2010-03-16 10:00:00,Borderlands,4
Ryan,2010-03-19 17:00:00,God of War III,4
Jeff,2010-03-22 13:00:00,Command & Conquer 4:  Tiberian Twilight,2
Dave,2010-03-23 11:00:00,Metro 2033,3
Ryan,2010-03-29 11:00:00,Just Cause 2,4
Jeff,2010-04-01 15:00:00,WarioWare D.I.Y.,4
Brad,2010-04-02 17:00:00,Final Fantasy XIII,3
Jeff,2010-04-06 13:00:00,Road Fighter,3
Jeff,2010-04-06 13:00:00,Jungler,2
Jeff,2010-04-13 09:00:00,Tom Clancy's Splinter Cell: Conviction,4
Brad,2010-04-16 16:00:00,Final Fight: Double Impact,4
Ryan,2010-04-17 14:00:00,Sam & Max Episode 301: The Penal Zone,4
Jeff,2010-04-26 08:00:00,Super Street Fighter IV,5
Jeff,2010-04-27 14:00:00,Dead to Rights: Retribution,3
Brad,2010-05-04 23:00:00,Alan Wake,4
Jeff,2010-05-05 16:00:00,Picross 3D,5
Jeff,2010-05-11 12:00:00,Skate 3,4
Brad,2010-05-11 22:00:00,Lost Planet 2,2
Ryan,2010-05-12 20:00:00,3D Dot Game Heroes,3
Ryan,2010-05-18 09:00:00,Split/Second,4
Brad,2010-05-18 15:00:00,Prince of Persia: The Forgotten Sands,3
Ryan,2010-05-21 08:00:00,Super Mario Galaxy 2,5
Ryan,2010-05-25 22:00:00,Blur,4
Jeff,2010-05-26 12:00:00,UFC Undisputed 2010,4
Brad,2010-05-26 17:00:00,ModNation Racers,4
Jeff,2010-05-31 12:00:00,Alpha Protocol,3
Ryan,2010-06-07 21:00:00,Green Day: Rock Band,4
Alex,2010-06-11 12:00:00,Backbreaker,2
Brad,2011-06-29 17:00:00,Half-Minute Hero: Super Mega Neo Climax,4
Jeff,2010-06-25 16:00:00,Transformers: War For Cybertron,3
Alex,2010-06-30 12:00:00,RISK: Factions,4
Jeff,2010-07-05 10:00:00,Crackdown 2,3
Brad,2010-07-09 18:00:00,Puzzle Quest 2,4
Jeff,2010-07-08 17:00:00,Singularity,4
Ryan,2010-07-09 15:00:00,Sin & Punishment:  Star Successor,4
Jeff,2010-07-16 12:00:00,Deadliest Warrior: The Game,2
Brad,2010-07-19 09:00:00,Limbo,5
Jeff,2010-07-21 17:00:00,DeathSpank,3
Jeff,2010-07-30 15:00:00,Hydro Thunder Hurricane,4
Brad,2010-07-31 14:00:00,StarCraft II: Wings of Liberty,5
Jeff,2010-08-05 18:00:00,Castlevania: Harmony of Despair,2
Brad,2010-08-13 17:00:00,Monday Night Combat,4
Jeff,2010-08-17 06:00:00,Kane & Lynch 2: Dog Days,3
Alex,2010-08-16 16:00:00,Madden NFL 11,4
Jeff,2010-08-17 07:00:00,Kane & Lynch 2: Dog Days,2
Ryan,2010-08-18 16:00:00,Lara Croft and the Guardian of Light,4
Brad,2010-08-23 19:00:00,Mafia II,3
Brad,2010-08-27 10:00:00,Metroid: Other M,4
Ryan,2010-09-01 16:00:00,Shank,3
Brad,2010-09-01 17:00:00,Dead Rising 2: Case Zero,4
Jeff,2010-09-11 21:00:00,Halo: Reach,4
Jeff,2010-09-15 17:00:00,Sports Champions,4
Ryan,2010-09-23 12:00:00,Sid Meier's Civilization V,5
